pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,building_count,extent_m2,mean_height_m,builtup_density
21,391,Baudh,2022,9.66358732416771e6,5.5082965721402094e7,221997.1487325636,1.7545014854478785e8,5.700053600555236,0.05507882098886253
21,391,Baudh,2023,9.631785471399322e6,5.1918351893212534e7,217706.54215876464,1.7509625999083945e8,5.390314396783356,0.05500851629785371
21,392,Subarnapur,2016,1.0375403044159146e7,8.369873901106422e7,200871.54469301933,1.6412010599615124e8,8.067034953228404,0.06321835451655422
21,392,Subarnapur,2017,1.0314291828285936e7,7.729290695401426e7,215635.0911381298,1.6324999001261875e8,7.493767700274489,0.06318096452862675
21,392,Subarnapur,2018,1.1030791710420035e7,8.769081611809509e7,217793.54575874496,1.8835154260467222e8,7.949639374956157,0.058564913023156764
21,392,Subarnapur,2019,1.1635886152902955e7,9.160333384839432e7,224564.63637918956,1.9133344092564726e8,7.872484540040025,0.0608147017929014
21,392,Subarnapur,2020,1.2239952823135147e7,9.540069698947224e7,234619.87932472202,2.0750009638070616e8,7.794204631994346,0.0589876970499241
21,392,Subarnapur,2021,1.267418261697968e7,9.90839950096141e7,242007.90724670966,2.1281540799370024e8,7.817781864439184,0.05955481671399874
21,392,Subarnapur,2022,1.2301805833490167e7,7.407409651820639e7,265211.5224169132,1.9064897947924712e8,6.021400233496507,0.06452594641257582
21,392,Subarnapur,2023,1.2218410040826546e7,7.265399157534343e7,269066.73520150216,1.8845672680902267e8,5.946272169011981,0.06483403510031445
21,393,Balangir,2016,3.1253182646735225e7,2.3577312296516344e8,497857.5351593629,4.333813014288909e8,7.543971621392384,0.07211474639928193
21,393,Balangir,2017,3.127591982352164e7,2.1066709726381972e8,588993.1203495784,4.302748112411304e8,6.7357602415064255,0.07268824250554211
21,393,Balangir,2018,3.3763532017396845e7,2.5556953747061658e8,615574.1022222072,4.897125482605546e8,7.5693958007394775,0.06894561337528306
21,393,Balangir,2019,3.541575927872469e7,2.697749377254413e8,641168.793111705,5.236973669702895e8,7.617369872047418,0.06762638407676758
21,393,Balangir,2020,3.623975622200039e7,2.704738228615205e8,653061.3191278555,5.544377446817325e8,7.463455913020783,0.06536307560157784
21,393,Balangir,2021,3.781024986401703e7,2.858510386302583e8,697274.7961740454,5.782634557719938e8,7.5601467765568735,0.06538585395049659
21,393,Balangir,2022,3.580790071867222e7,2.2217174827860308e8,755617.6335772863,5.216664620778109e8,6.204545472355782,0.06864137015066761
21,393,Balangir,2023,3.672034775003333e7,2.2664043569652042e8,775833.5895722143,5.46743322594742e8,6.172066703706931,0.06716195010076281
21,394,Nuapada,2016,1.511810641233197e7,1.0518421379072565e8,213037.58843297782,2.2805916382398516e8,6.95749923448918,0.06629028256895673
21,394,Nuapada,2017,1.510451667511913e7,9.27196399856356e7,253658.6564627988,2.312000596971813e8,6.138537364678987,0.06533093760833175
21,394,Nuapada,2018,1.6172268862973873e7,1.0931028824369863e8,260997.58473684147,2.5474615096157706e8,6.759118907178363,0.06348385952811947
21,394,Nuapada,2019,1.6670930773519753e7,1.1392583334935556e8,276949.3821557782,2.6336783976184514e8,6.833801597347901,0.0632990375309101
21,394,Nuapada,2020,1.6979968049874727e7,1.1210004078970535e8,285227.7911395712,2.756135721896025e8,6.6018993946535955,0.06160788060971729
21,394,Nuapada,2021,1.7666935007338613e7,1.2272144125536583e8,300849.7476435272,2.9126926113436735e8,6.946391165439221,0.06065499304160545
21,394,Nuapada,2022,1.686108198299831e7,9.81770484891908e7,322996.26906929957,2.708518651769493e8,5.822701567324479,0.06225204309367725
21,394,Nuapada,2023,1.6925181373141415e7,9.189975194130549e7,339297.78610538656,2.821440895614851e8,5.429764675204089,0.05998772258333295
21,395,Kalahandi,2016,3.167306477529661e7,2.360222674357179e8,460649.898487526,4.4725513097228104e8,7.451829152315041,0.07081654872565245
21,395,Kalahandi,2017,3.141234546559046e7,2.0473770444071862e8,551839.3312272753,4.542905521524624e8,6.517746491263802,0.06914593604633958
21,395,Kalahandi,2018,3.3505037360583242e7,2.4408242083478475e8,569533.3211851204,4.945743925011222e8,7.284946982985124,0.06774519236862273
21,395,Kalahandi,2019,3.436914398616986e7,2.5034879791858742e8,580816.7911538843,5.1480242589531636e8,7.2841150195456645,0.06676181435314124
21,395,Kalahandi,2020,3.4865099475824796e7,2.4835777263146105e8,589158.3483255195,5.39392964593279e8,7.123392055819904,0.06463766078616597
21,395,Kalahandi,2021,3.67317260146288e7,2.7086145036697245e8,633176.8753334571,5.607844679959981e8,7.374046355978454,0.06550061228673495
21,395,Kalahandi,2022,3.484245551293578e7,2.0875073004272118e8,709003.4509732873,5.239887570778952e8,5.991274925075799,0.06649466241840789
21,395,Kalahandi,2023,3.506809172668822e7,2.0878929846317568e8,712937.5646553423,5.409189549885762e8,5.953825491572975,0.06483058395953019
21,396,Rayagada,2016,1.4613172576869113e7,1.1836735857236095e8,231029.9959365309,2.670074643115578e8,8.100045212613322,0.05472945340515921
21,396,Rayagada,2017,1.5121370217026772e7,1.1865943349675816e8,258571.23917749122,2.829709062223958e8,7.847135001241275,0.053437897269701676
21,396,Rayagada,2018,1.592665175066221e7,1.2661763465765138e8,269248.22463063884,3.0687967720783925e8,7.9500472943025695,0.05189868516407369
21,396,Rayagada,2019,1.683190024117627e7,1.3396594867603856e8,285502.58231263683,3.234529841641889e8,7.959050775997029,0.05203816648861764
21,396,Rayagada,2020,1.735764778878871e7,1.361077685443119e8,287548.5267986122,3.453535027547947e8,7.8413717227413615,0.05026052334877534
21,396,Rayagada,2021,1.792761340078092e7,1.4527450597076267e8,303424.33660350007,3.5681903631845886e8,8.103393503813205,0.050242872649823064
21,396,Rayagada,2022,1.7484278484160747e7,1.146652165975473e8,332644.7771888697,3.364364132742149e8,6.5581897875525215,0.05196904316629383
21,396,Rayagada,2023,1.7263128706644893e7,1.0807562218913594e8,337786.98829077254,3.386813077319316e8,6.260488699683718,0.05097160165777075
21,397,Nabarangapur,2016,2.2366892338070672e7,1.6294852072764087e8,414544.8948923933,3.766704741871209e8,7.285255290038049,0.05938052985527964
21,397,Nabarangapur,2017,2.3094984943370834e7,1.511309888269849e8,486178.7223835309,3.889944681209061e8,6.543887740024937,0.059370985543662075
21,397,Nabarangapur,2018,2.4878725655574363e7,1.7713293076696056e8,490235.8981078466,4.182835908427697e8,7.119855462824797,0.0594781296714222
21,397,Nabarangapur,2019,2.6048232511772428e7,1.881831630973778e8,519567.90384778986,4.2707276845320165e8,7.224411983128949,0.060992492230575866
21,397,Nabarangapur,2020,2.558383532932452e7,1.7859334208466733e8,532952.380805647,4.381981500350261e8,6.980710272160067,0.05838417010039763
21,397,Nabarangapur,2021,2.7245318801281173e7,1.9901443803909647e8,544698.0484118778,4.5182247522643226e8,7.304536955160829,0.06030093741491522
21,397,Nabarangapur,2022,2.6199999087425664e7,1.6073804618790475e8,593162.505839044,4.379007325305875e8,6.135040144526142,0.0598309094758036
21,397,Nabarangapur,2023,2.5528070151323367e7,1.477287364740454e8,591588.6081240806,4.6055701086555994e8,5.786913605233382,0.05542868645804895
21,398,Koraput,2016,2.195108745309598e7,1.8133539973613256e8,393508.99753192806,3.735292252052007e8,8.260884574561569,0.0587667201703883
21,398,Koraput,2017,2.241577555480035e7,1.7212034040183383e8,462775.43245775043,3.897118531454618e8,7.678536037312087,0.05751884468967783
21,398,Koraput,2018,2.416187964477177e7,1.938989331070642e8,471665.0266410416,4.2546464353705955e8,8.024993748738448,0.056789394869346366
21,398,Koraput,2019,2.508625919470069e7,2.0335559888978893e8,499434.99152841454,4.347767140747474e8,8.106254396540177,0.05769917841181308
21,398,Koraput,2020,2.544727791653179e7,2.0154733427614766e8,502164.18991929095,4.5118514695965075e8,7.920192286861956,0.056400965519389154
21,398,Koraput,2021,2.686107398193631e7,2.2064513741258493e8,527193.0640008874,4.687540013474417e8,8.214308093599149,0.05730313534332225
21,398,Koraput,2022,2.5500700349357087e7,1.760303439126214e8,562989.8666430084,4.48313356714411e8,6.902961154047654,0.056881420032287355
21,398,Koraput,2023,2.5790920875604533e7,1.726021282142337e8,553287.2960158467,4.641642381635722e8,6.692360038120894,0.05556421360172899
21,399,Malkangiri,2016,1.1669011673421137e7,8.102527734033418e7,220996.63725176174,3.020148334452014e8,6.9436280987607475,0.03863721374314021
21,399,Malkangiri,2017,1.1746262639853364e7,7.816866136524405e7,247587.68674412245,3.105717359460708e8,6.654768734697718,0.03782141541010365
21,399,Malkangiri,2018,1.2802459471220143e7,8.869928151092154e7,256187.38563600468,3.2021707647868794e8,6.928300121575625,0.03998056447208933
21,399,Malkangiri,2019,1.3766042666408533e7,9.43901387113034e7,287714.8389263498,3.348434387451248e8,6.856737335387697,0.04111187818999473
21,399,Malkangiri,2020,1.3444653607056277e7,8.998002799315718e7,278508.47286356287,3.396957303424976e8,6.692625234013628,0.03957851808587859
